"We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based. ",,,,,,,,,,
,,,,,,,,,,
All Submitters of data may be contacted directly via www.gisaid.org ,,,,,,,,,,
,strain,virus,gisaid_epi_isl,genbank_accession,originating_lab,submitting_lab,authors,url,title,paper_url
178,Australia/NSW134/2020,ncov,EPI_ISL_427742,?,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam C et al,https://www.gisaid.org,Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling,https://www.nature.com/articles/s41591-020-1000-7
188,Australia/NSW143/2020,ncov,EPI_ISL_427737,?,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett R et al,https://www.gisaid.org,Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling,https://www.nature.com/articles/s41591-020-1000-7
189,Australia/NSW144/2020,ncov,EPI_ISL_427738,?,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam C et al,https://www.gisaid.org,Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling,https://www.nature.com/articles/s41591-020-1000-7
299,Australia/NSW2131/2020,ncov,EPI_ISL_500624,?,"Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick","Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick",Rawlinson et al,https://www.gisaid.org,?,?
366,Australia/NSW2218/2020,ncov,EPI_ISL_500670,?,"Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick","Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick",Rawlinson et al,https://www.gisaid.org,?,?
719,Australia/NSW538/2020,ncov,EPI_ISL_455077,?,South Eastern Area Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al,https://www.gisaid.org,?,?
724,Australia/NSW542/2020,ncov,EPI_ISL_455081,?,South Eastern Area Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,CIDM-PH et al. et al,https://www.gisaid.org,?,?
1533,Australia/SAP327/2020,ncov,EPI_ISL_483105,?,SA Pathology,SA Pathology,Lex Leong et al,https://www.gisaid.org,?,?
1784,Australia/TAS262/2020,ncov,EPI_ISL_522690,?,Royal Hobart Hospital Microbiology Department,MDU-PHL,Cooley L. et al,https://www.gisaid.org,?,?
4095,Australia/VIC1410/2020,ncov,EPI_ISL_456429,MT612125.1,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,?,?
